"State","serialKillersVictims","serialKillersVictimsPerCapita"
Washington,"169","23.9001"
"Alaska","64","8.6718"
"Louisiana","344","7.3463"
"Kansas","181","6.1256"
"Missouri","350","5.6560"
"Wyoming","32","5.5220"
"Illinois","680","5.3088"
"Indiana","349","5.0980"
"Washington","396","5.0118"
"Oklahoma","200","4.9988"
"Arkansas","143","4.7185"
"Kentucky","212","4.6705"
"California","1777","4.4430"
"Ohio","505","4.2609"
"Montana","47","4.2604"
"Florida","933","4.2245"
"Michigan","425","4.2012"
"Nebraska","82","4.1236"
"Oregon","175","4.0523"
"Alabama","199","3.9226"
"South Carolina","198","3.7953"
"Georgia","409","3.7465"
"Connecticut","134","3.7095"
"Nevada","117","3.6730"
"Pennsylvania","462","3.5368"
"Maryland","213","3.4037"
"New Mexico","72","3.3816"
"New York","677","3.3242"
"Mississippi","98","3.3107"
"Texas","984","3.2860"
"Virginia","272","3.1059"
"Tennessee","208","2.9614"
"Massachusetts","200","2.8065"
"North Carolina","295","2.7777"
"Colorado","161","2.7184"
"Arizona","188","2.5741"
"Maine","35","2.5563"
"Utah","86","2.5495"
"New Jersey","232","2.4711"
"West Virginia","43","2.4132"
"Idaho","45","2.3767"
"Rhode Island","25","2.2597"
"Wisconsin","118","1.9882"
"Vermont","11","1.7014"
"Iowa","53","1.6464"
"North Dakota","13","1.6242"
"Delaware","16","1.5868"
"Minnesota","81","1.3997"
"South Dakota","10","1.1097"
"New Hampshire","14","1.0074"
"Hawaii","13","0.8818"
